Zadejte pocet nadrzi:
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -48.358498
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -48.358498
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -48.358498
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -48.358498
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -48.358498
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -48.358498
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -48.358498
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -48.358498
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -48.358498
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -48.358498
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -48.358498
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -48.358498
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -48.358498
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
h = -82.282051
h = -74.589744
h = -82.153846
h = -74.461538
h = -82.012821
h = -67.655138
h = -81.871795
h = -67.201136
h = -82.987179
h = -82.974359
h = -71.992984
h = -82.807692
